"No.","Equation"
"A2.1","$\theta = \{ \log B_{0}, q_g, \tau_g, \vec\omega_{t} \}$."
"A2.2","$B_{1}        = B^{(f = 0)}$"
"A2.3","$N_{1}        = N^{(f = 0)}$"
"A2.4","$R_{1}        = R^{(f = 0)}$"
"A2.5","$R_{t} = \left\{ \begin{array}{lc} R_{1} e^{\omega_{t-k} - \sigma^2/2} & t \leq k \\ \frac{aB_{t-k}}{1 + bB_{t-k}}e^{\omega_{t-k} - \sigma^2/2} & t > k  \\ \end{array} \right.$"
"A2.6","$\bar{w}_{t-1} = B_{t-1} / N_{t-1}$"
"A2.7","$C'_{t-1} = C_{t-1} / \bar{w}_{t-1}$"
"A2.8","$F_{t-1} = \log \frac{N_{t-1}}{\left( N_{t-1}e^{-M/2} - C'_{t-1}\right)e^{-M/2} }$"
"A2.9","$Z_{t-1} = M + F_{t-1}$"
"A2.10","$N_{t} =  e^{-Z_{t-1}} N_{t-1} + R_{t}$"
"A2.11","$B_{t} = e^{-Z_{t-1}} ( \alpha N_{t-1} + \rho B_{t-1}) + w^{(k)}R_{t}$"
"A2.12","$\hat{I}_{g,t} = q_g \cdot B_{t}$"
"A2.13","$\log I_{g,t} \sim N(\log \hat{I}_{g,t}, \tau_g)$"
"A2.14","$\omega_{t} \sim N(0, \sigma)$"
"A2.15","$\log q_{g} \sim N( \log m_q, 0.5 )$"
