"Label","MP","ProbBtGtLRP","AcceptProbDec","ObsProbDec","ProbDecDiff","ProbBtGtBmsy","ProbB2052GtBmsy","PB2052Gt.8Bmsy","ProbCtLt1992","medAvgCatch","medAvgTAC","medLowCatch","medHighCatch","medAAV","D2019","C2019","npvC_trap","npvC_LL","npvC_trawl","npvD_trap","npvD_LL","npvD_trawl","vptC_trap","vptC_LL","vptC_trawl","inputF","scenario"
"cap.5_hstAl_am10","1",1,0.456112026,0,0.456112026,0.691710443,0.500196731,0.778592259,0.021676531,3.912359436,4.168367754,3.012759039,4.740766399,7.19064697,0.352655763,3.048302673,364.067161025,298.651122069,49.925006375,10.194936663,12.413707219,29.635541868,18136.215334813,18340.557365383,17335.586212215,0.0681,"hiRec2016"
"cap.5_hstAl_am5","2",1,0.456112026,0,0.456112026,0.688603534,0.500484983,0.780125171,0.023230239,4.01221531,4.51327628,3.149488457,4.902990056,7.732930674,0.352655763,3.18,371.737797265,312.655221833,46.537537512,10.463095717,13.036670509,27.667970706,18134.444331928,18339.822297359,17329.787266646,0.0741,"hiRec2016"
"cap.5_rctAl_am10","3",1,0.456112026,0,0.456112026,0.691710443,0.500053619,0.77536202,0.024763151,3.8575552,4.115260845,2.967481302,4.667103547,7.163053922,0.352655763,3.048302673,358.299562789,292.083761911,52.268648938,10.031686135,12.137370071,30.876464956,18137.0298517,18340.86620808,17338.873803849,0.067,"hiRec2016"
"cap.5_rctAl_am5","4",1,0.456112026,0,0.456112026,0.688603534,0.498787656,0.771678879,0.024763151,3.938696584,4.438780078,3.091185784,4.808350235,7.588969619,0.352655763,3.121553708,364.125850894,302.623659422,50.828683497,10.221542516,12.610333361,29.881063063,18136.007190426,18340.378863689,17335.123214683,0.0728,"hiRec2016"
"cap0_rctAl_am10","5",1,0.456112026,0,0.456112026,0.691710443,0.503591385,0.787995231,0.021676531,3.957411074,4.293419899,3.02302673,4.798513636,7.251977234,0.352655763,3.048302673,371.03417195,302.421884335,47.592485649,10.393239336,12.588367836,28.375576202,18135.308713699,18340.278936061,17332.532278007,0.0705,"hiRec2016"
"cap0_rctAl_am5","6",1,0.456112026,0,0.456112026,0.68862433,0.504168124,0.789404813,0.02012333,4.09530193,4.764829988,3.290385754,4.997341625,8.148871573,0.352655763,3.36,383.930679604,319.469053126,42.486126334,10.886202626,13.384829563,25.668130633,18132.465308814,18339.029095328,17323.683719704,0.0783,"hiRec2016"
"cap1.0_hstAl_am10","7",1,0.456112026,0,0.456112026,0.691710443,0.500053619,0.77536202,0.023230239,3.852482766,4.02076515,2.969712255,4.660643069,7.038699431,0.352655763,3.048302673,355.800661371,293.83043971,51.997875206,9.961829754,12.190764725,30.723665574,18137.025200407,18340.862980104,17339.00301126,0.0654,"hiRec2016"
"cap1.0_hstAl_am5","8",1,0.456112026,0,0.456112026,0.688603534,0.503427984,0.770145967,0.024763151,3.925609964,4.248203339,3.012738985,4.792176995,7.384047828,0.352655763,3.048302673,358.750058565,305.300454656,50.331447531,10.038023283,12.673707219,29.533047628,18136.326226103,18340.512289947,17335.9970766,0.0696,"hiRec2016"
"cap1.0_rctAl_am10","9",1,0.456112026,0,0.456112026,0.694940682,0.503139732,0.772275907,0.024763151,3.770929058,3.949232238,2.96167778,4.540787195,6.989514325,0.352655763,3.048302673,347.470197853,283.301788774,54.888288319,9.734916374,11.759211017,32.300189811,18138.02215715,18341.377456018,17343.383519002,0.0639,"hiRec2016"
"cap1.0_rctAl_am5","10",1,0.456112026,0,0.456112026,0.690300861,0.499765132,0.763396495,0.024763151,3.798675788,4.153563518,2.93659805,4.633350255,7.297854806,0.352655763,3.048302673,347.128770044,288.463778099,56.017159102,9.711665846,11.978902983,32.63268576,18138.060954619,18341.239526148,17343.24193331,0.0676,"hiRec2016"
"cap1.5_hstAl_am10","11",1,0.456112026,0,0.456112026,0.693243355,0.500053619,0.768613055,0.024763151,3.812482766,3.919232238,2.978159054,4.59753616,6.885118007,0.352655763,3.048302673,350.70523954,289.670775638,53.5402364,9.818722845,12.009211017,31.56356827,18137.552085041,18341.14096058,17341.161742852,0.0634,"hiRec2016"
"cap1.5_hstAl_am5","12",1,0.456112026,0,0.456112026,0.688603534,0.495104515,0.759733643,0.026460478,3.875589675,4.070621531,2.950588718,4.718133188,7.252546752,0.352655763,3.048302673,351.972460248,300.216726647,53.354323001,9.834916374,12.435404546,31.187290111,18137.197480753,18340.828424991,17339.34862101,0.0663,"hiRec2016"
"cap1.5_rctAl_am10","13",1,0.456112026,0,0.456112026,0.700136446,0.504692933,0.778613055,0.02490677,3.707699326,3.847534911,2.952903165,4.469521232,6.872054016,0.352655763,3.048302673,341.620444355,278.552542059,54.708021492,9.576613701,11.550743929,32.279207734,18138.320965246,18341.569582368,17345.158373395,0.0619,"hiRec2016"
"cap1.5_rctAl_am5","14",1,0.456112026,0,0.456112026,0.698603534,0.49947688,0.76143097,0.024763151,3.712647181,3.969232238,2.913067073,4.525550346,7.244285868,0.352655763,3.048302673,338.255888253,281.151498057,56.095505874,9.468558937,11.664406781,32.891030147,18138.523516128,18341.58291105,17346.359172498,0.0641,"hiRec2016"
"noCap_rctAl_am5","15",1,0.456112026,0,0.456112026,0.701710443,0.50160682,0.780166763,0.026460478,3.720785439,3.739231731,3.016277765,4.445549839,6.39614792,0.352655763,3.048302673,346.765168578,276.513879775,53.445465183,9.7336707,11.474138583,31.743989925,18138.000543278,18341.52839299,17343.573909323,0.0599,"hiRec2016"
"NoFish","16",1,0.456112026,0,0.456112026,0.978179343,1,1,1,0,NA,0,0,0,0.352655763,0,0,0,0,0,0,0,0,0,0,0.055,"hiRec2016"
"NSL_rctAl_am5","17",1,0.456112026,0,0.456112026,0.700156735,0.489198966,0.783087954,0.016460478,4.526506519,4.554952811,3.216769761,5.540775336,7.6562416,0.352655763,3.218302673,419.408505441,336.738796328,61.058670531,0,0,0,17974.737455878,18315.273158606,16266.962524619,0.075,"hiRec2016"
