"Label","MP","ProbBtGtLRP","AcceptProbDec","ObsProbDec","ProbDecDiff","ProbBtGtBmsy","ProbB2052GtBmsy","PB2052Gt.8Bmsy","ProbCtLt1992","medAvgCatch","medAvgTAC","medLowCatch","medHighCatch","medAAV","D2019","C2019","npvC_trap","npvC_LL","npvC_trawl","npvD_trap","npvD_LL","npvD_trawl","vptC_trap","vptC_LL","vptC_trawl","inputF","scenario"
"cap.5_hstAl_am10","1",1,0.456112026,0,0.456112026,0.767358367,0.634743107,0.850062548,0.02012333,3.567863234,3.794448291,2.865454638,4.288944493,7.059887402,0.352655763,3.048302673,331.505025458,272.38789865,45.7224233,9.348311028,11.314138583,27.087117461,18137.845795965,18341.418926851,17343.57399006,0.0606,"hiRec2016"
"cap.5_hstAl_am5","2",1,0.456112026,0,0.456112026,0.768891279,0.643981157,0.858817381,0.013230239,3.630949854,4.064428002,2.846461727,4.427516378,7.596212686,0.352655763,3.048302673,335.484773989,282.744622877,42.582586419,9.446593412,11.759190221,25.16550175,18137.064150949,18340.980577205,17340.197306957,0.0655,"hiRec2016"
"cap.5_rctAl_am10","3",1,0.456112026,0,0.456112026,0.772554131,0.651615402,0.855422727,0.02012333,3.487863234,3.71459191,2.824004713,4.179088619,7.107232343,0.352655763,3.048302673,323.143127308,263.743010095,47.679747248,9.126737031,10.961031167,28.093544347,18138.690028031,18341.828541996,17347.587360183,0.0589,"hiRec2016"
"cap.5_rctAl_am5","4",1,0.456112026,0,0.456112026,0.779034898,0.666831962,0.866143085,0.02012333,3.504344001,3.934592417,2.802883618,4.247804123,7.610122787,0.352655763,3.048302673,322.437154057,268.424497785,46.148030599,9.097005736,11.1645504,26.975343579,18138.518417865,18341.617781333,17346.659864295,0.0628,"hiRec2016"
"cap0_rctAl_am10","5",1,0.456112026,0,0.456112026,0.75566104,0.610607299,0.848365221,0.016460478,3.680949854,3.99767853,2.9147644,4.440498201,7.139755255,0.352655763,3.048302673,344.760400618,281.214554092,44.199822667,9.703506792,11.700743929,26.322676389,18136.808588313,18340.943789183,17338.878198495,0.0644,"hiRec2016"
"cap0_rctAl_am5","6",1,0.456112026,0,0.456112026,0.747214241,0.606923651,0.850062548,0.013230239,3.815445549,4.435117226,3.052391115,4.661436348,7.597423676,0.352655763,3.108302673,357.935811407,297.660751611,39.722763283,10.091542516,12.430312565,23.783428696,18134.824140442,18340.143861364,17331.818061441,0.0724,"hiRec2016"
"cap1.0_hstAl_am10","7",1,0.456112026,0,0.456112026,0.777337571,0.655278254,0.855422727,0.02012333,3.483202617,3.622894583,2.813984424,4.166001999,7.016334539,0.352655763,3.048302673,320.246687308,265.144989779,47.298953227,9.053630122,11.004837638,27.885385293,18138.655170616,18341.81371595,17347.812881058,0.0572,"hiRec2016"
"cap1.0_hstAl_am5","8",1,0.456112026,0,0.456112026,0.787337571,0.673601216,0.870927032,0.014927566,3.464344001,3.72459191,2.7509186,4.199810733,7.568910433,0.352655763,3.048302673,315.097127292,269.641371837,45.261122449,8.903486503,11.183304726,26.487348433,18138.63586791,18341.746754502,17347.415664945,0.059,"hiRec2016"
"cap1.0_rctAl_am10","9",1,0.456112026,0,0.456112026,0.78269775,0.662027726,0.852192488,0.02012333,3.371093473,3.534591403,2.736114364,4.026289744,7.165876369,0.352655763,3.048302673,310.524501768,253.549123361,49.424024694,8.803630122,10.538067877,29.037917848,18139.519847386,18342.231316494,17351.6342867,0.0554,"hiRec2016"
"cap1.0_rctAl_am5","10",1,0.456112026,0,0.456112026,0.784230662,0.662027726,0.853889815,0.02012333,3.368006853,3.661361671,2.690321065,4.064840833,7.675106619,0.352655763,3.048302673,305.875068631,254.853377272,50.155924629,8.653486503,10.584837638,29.192911389,18139.857696922,18342.306388928,17352.975431445,0.0576,"hiRec2016"
"cap1.5_hstAl_am10","11",1,0.456112026,0,0.456112026,0.777337571,0.658941106,0.8537254,0.02012333,3.422647181,3.50937535,2.774581452,4.083059505,6.969837659,0.352655763,3.048302673,314.754968013,259.615631091,48.404172914,8.91209721,10.779621585,28.487674033,18139.049337326,18342.031228665,17349.721243195,0.0551,"hiRec2016"
"cap1.5_hstAl_am5","12",1,0.456112026,0,0.456112026,0.78269775,0.662192141,0.857120054,0.02012333,3.422646674,3.56937535,2.727812198,4.121630883,7.379583818,0.352655763,3.048302673,310.505189813,264.025018535,47.808285034,8.772076921,10.951175293,27.915817906,18139.114260049,18341.993668433,17349.925268473,0.0562,"hiRec2016"
"cap1.5_rctAl_am10","13",1,0.456112026,0,0.456112026,0.777337571,0.643745342,0.852028073,0.02012333,3.369539765,3.48937535,2.724581452,4.020949854,7.154015641,0.352655763,3.048302673,309.955057084,253.063639225,49.680553025,8.783630122,10.513284437,29.287184187,18139.571604059,18342.262229751,17351.874733056,0.0546,"hiRec2016"
"cap1.5_rctAl_am5","14",1,0.456112026,0,0.456112026,0.78578437,0.663560638,0.85681202,0.02012333,3.301237092,3.517842438,2.625970238,3.994428002,7.835095456,0.352655763,3.048302673,300.169332604,250.163818504,49.875049227,8.506716742,10.390033402,29.247041075,18140.110024407,18342.468171784,17354.327215265,0.0549,"hiRec2016"
