SSB0 h M_m M_f projSSB projLegalB projSublegalB projDep legalHR.T sublegalHR.T spawnB1 spawnB2 spawnB3 spawnB4 spawnB5 spawnB6 spawnB7 spawnB8 spawnB9 spawnB10 spawnB11 spawnB12 spawnB13 spawnB14 spawnB15 spawnB16 spawnB17 spawnB18 spawnB19 spawnB20 spawnB21 spawnB22 spawnB23 spawnB24 spawnB25 spawnB26 spawnB27 spawnB28 spawnB29 spawnB30 spawnB31 spawnB32 spawnB33 spawnB34 spawnB35 spawnB36 spawnB37 spawnB38 spawnB39 spawnB40 spawnB41 spawnB42 spawnB43 spawnB44 spawnB45 spawnB46 spawnB47 spawnB48 spawnB49 spawnB50 spawnB51 spawnB52 spawnB53 recDev10 recDev11 recDev12 recDev13 recDev14 recDev15 recDev16 recDev17 recDev18 recDev19 recDev20 recDev21 recDev22 recDev23 recDev24 recDev25 recDev26 recDev27 recDev28 recDev29 recDev30 recDev31 recDev32 recDev33 recDev34 recDev35 recDev36 recDev37 recDev38 recDev39 recDev40 recDev41 recDev42 recDev43 recDev44 recDev45 recDev46 recDev47 recDev48 recDev49 recDev50 recDev51 recDev52 tauIndex1 tauIndex2 tauIndex3 tauAges_m1 tauAges_m2 tauAges_m3 tauAges_f1 tauAges_f2 tauAges_f3 tauReleases1 tauReleases2 tauReleases3 tauReleases4 tauReleases5 qg1 qg2 qg3 Bmsy Fmsy Umsy legUmsy Dmsy MSY
57.501 0.567332 0.0410067 0.0789224 0 0 0 0 0.081185 0.0406057 57.501 57.3079 56.9805 56.4296 55.5256 54.0375 52.4557 51.5494 49.8676 48.8346 47.5997 45.5569 43.6767 42.4593 41.6841 40.7594 40.0884 39.692 39.2854 38.8161 38.4017 37.861 37.0406 36.0355 34.6666 33.1917 31.7621 30.2377 28.6883 27.0975 25.4763 24.0531 22.8689 21.5432 20.0924 18.8006 17.9625 17.3766 17.1182 17.1756 17.0397 16.1871 15.0518 14.0841 13.0623 12.1936 11.4226 10.7707 10.2552 10.0792 10.1269 10.1858 0 -1.15956 0.637835 -0.362914 0.414195 -0.623116 0.787709 -0.880011 0.271788 0.343317 -1.05098 -0.0458759 -1.91341 0.480853 -1.39843 -0.0634283 -1.55404 -1.15195 0.334184 -1.37062 -1.81498 -0.959712 -0.390941 -0.48256 -0.80161 -0.619867 -1.31729 1.04539 0.621971 -2.58507 -1.74689 -1.2106 -2.1418 -2.5029 -1.36835 -0.708377 0.0367266 -0.422412 -0.584779 -2.01324 0.700355 1.04759 -0.995169 1.02061 0.15751 0.530173 0.167214 0.519107 0.585473 0.462413 0.576008 0.654076 0.465202 0.427231 0.831162 0.639897 0 0 0.386242 0.228116 0.598426 23.3759101441429 0.0285362317717959 0.0446125193529301 0.0435281040630232 0.406530497628614 2.89074921631188
58.3806 0.452906 0.0410184 0.0789585 0 0 0 0 0.0760584 0.0401163 58.3806 58.1875 57.8592 57.3092 56.3941 54.9217 53.3368 52.4233 50.7179 49.6765 48.4417 46.38 44.4704 43.1941 42.4061 41.4561 40.8144 40.4445 40.1184 39.7324 39.4179 38.939 38.1465 37.1595 35.7836 34.3061 32.8461 31.2869 29.6996 28.0421 26.3784 24.8961 23.6588 22.299 20.826 19.531 18.7009 18.1511 17.9329 18.0291 17.9285 17.0886 15.9906 15.0232 13.9862 13.1038 12.3049 11.629 11.0847 10.7822 10.692 10.5614 0 -1.07209 0.611962 -0.280671 0.25645 -0.597639 0.987619 -1.18623 0.50999 0.146193 -0.528213 -0.0925167 -1.82995 0.435032 -1.02766 -0.0781724 -1.19894 -1.09506 0.313989 -1.48778 -1.51404 -0.960737 -0.235531 -0.630196 -0.52627 -0.325699 -1.25337 1.19342 0.767291 -2.11724 -1.6452 -1.43837 -1.68891 -2.69499 -1.08837 -0.41618 0.0937782 -0.234346 -0.830941 -0.870542 0.890381 0.246852 0.267921 1.20528 0.156477 0.521039 0.167384 0.520696 0.585314 0.461793 0.577873 0.65527 0.467166 0.409085 0.839654 0.650778 0 0 0.374854 0.219269 0.548289 25.3517935148989 0.0230524114281549 0.033146467242923 0.0324247339673115 0.434250307720355 2.39190767457562
56.8489 0.5637 0.0410424 0.0788373 0 0 0 0 0.0762435 0.0370593 56.8489 56.6558 56.3276 55.7811 54.8714 53.3606 51.8031 50.8898 49.1999 48.1849 46.9525 44.9177 43.0977 41.9243 41.2676 40.4357 39.9154 39.694 39.4757 39.1662 38.9098 38.4874 37.7473 36.8039 35.4529 33.9863 32.5452 30.9743 29.387 27.7076 26.0579 24.5794 23.3428 21.946 20.4267 19.1109 18.2646 17.6991 17.4898 17.6246 17.5669 16.7855 15.7056 14.757 13.76 12.9045 12.1373 11.4836 10.9627 10.7346 10.8876 10.9932 0 -0.648906 0.495134 -0.243648 0.650475 -1.4412 1.05802 -1.64472 0.343777 0.436217 -0.822828 -0.258934 -1.24375 0.434445 -1.05888 -0.148114 -1.42555 -1.1647 0.318649 -1.737 -1.64038 -1.24348 -0.248766 -0.665161 -0.559848 -1.03651 -1.44922 1.25554 0.527434 -2.91857 -1.81793 -1.23636 -1.83241 -2.62226 -1.28239 -0.515029 -0.0375516 -0.455457 -0.735084 -1.61935 0.748692 0.709074 1.24103 -0.85756 0.156517 0.518224 0.160683 0.520594 0.589735 0.461014 0.575046 0.650298 0.463833 0.416199 0.828015 0.650579 0 0 0.377989 0.224308 0.559891 23.1598412456666 0.0307770145788061 0.0441578272197968 0.0430934580575675 0.407392952997623 2.83293090548646
58.838 0.522514 0.0410394 0.0760774 0 0 0 0 0.0870644 0.0479293 58.838 58.638 58.3013 57.734 56.7827 55.1792 53.5486 52.5931 50.8383 49.7669 48.4333 46.2722 44.2989 42.9692 42.1746 41.2438 40.5807 40.1909 39.8218 39.393 38.9971 38.4415 37.6398 36.6406 35.2639 33.8068 32.3957 30.8643 29.3227 27.6778 26.038 24.5716 23.3543 21.9497 20.418 19.0904 18.2069 17.5763 17.3068 17.384 17.2667 16.4068 15.2595 14.27 13.2304 12.3418 11.5421 10.8602 10.277 9.95185 9.85029 9.57312 0 -0.933887 0.418133 -0.0337935 0.468137 -1.28324 1.09201 -1.08003 -0.0921084 0.229863 0.0151718 -0.36762 -1.47358 0.328786 -0.527525 -0.0900057 -1.38376 -1.00965 0.342357 -1.98319 -1.66508 -1.40261 -0.0224872 -0.712018 -0.416953 -1.87515 -1.23749 1.3358 0.489272 -2.47002 -1.5279 -1.22769 -1.88697 -2.09286 -1.79836 -0.451072 -0.0101764 -0.209902 -0.726779 -2.1415 0.654228 0.530048 0.363637 -0.333686 0.157491 0.540862 0.17382 0.521502 0.585642 0.459263 0.582635 0.648329 0.46788 0.421508 0.835331 0.633201 0 0 0.404646 0.230605 0.61323 24.3543113390457 0.0305991938074207 0.0393323161453521 0.0384337926457746 0.413921468082628 2.61504425238644
57.7708 0.526533 0.0410023 0.0777826 0 0 0 0 0.0766745 0.0382676 57.7708 57.5761 57.2447 56.6969 55.7639 54.2102 52.6033 51.6607 49.9468 48.9005 47.6179 45.5163 43.6599 42.4327 41.6833 40.7733 40.137 39.7512 39.3621 38.8867 38.4718 37.9145 37.1081 36.1209 34.7531 33.2994 31.9147 30.4125 28.8742 27.2528 25.6283 24.2054 23.0085 21.6556 20.17 18.9365 18.1308 17.6036 17.4353 17.612 17.5806 16.7957 15.7118 14.7553 13.7349 12.8591 12.0847 11.457 10.9615 10.7476 10.8498 10.8564 0 -1.15888 0.636095 -0.337824 0.531271 -0.500876 0.791262 -1.11441 0.225146 0.307857 -0.173747 -0.744156 -0.878848 0.401289 -0.70429 -0.12805 -1.84167 -0.478879 0.159126 -1.54715 -2.10576 -0.957905 -0.300048 -0.184109 -0.87342 -1.43606 -0.925262 1.4049 0.363641 -1.82608 -1.4153 -1.36175 -2.16453 -2.58322 -1.69305 -0.358014 0.0854875 -0.231323 -0.298978 -1.71503 0.657502 0.583124 1.07561 -0.0574298 0.157634 0.52913 0.163182 0.520929 0.587317 0.460479 0.581567 0.648106 0.471055 0.416698 0.829587 0.625649 0 0 0.397114 0.227426 0.582799 23.9715480277509 0.0290933717418754 0.0402472858681707 0.0393143374102714 0.414942289664517 2.67055534514173
57.6678 0.633676 0.0410138 0.0782477 0 0 0 0 0.071969 0.0396158 57.6678 57.4715 57.1427 56.5904 55.6632 54.1208 52.5394 51.5879 49.8947 48.8713 47.6377 45.5811 43.7288 42.4925 41.7179 40.7723 40.1015 39.7348 39.3923 39.0108 38.7165 38.2706 37.5436 36.6125 35.2606 33.8024 32.4085 30.8849 29.3497 27.7276 26.1239 24.6967 23.486 22.1002 20.6245 19.3651 18.5624 18.0368 17.8625 18.0145 17.9612 17.1669 16.0621 15.1039 14.0752 13.2117 12.4587 11.8618 11.4093 11.2209 11.2591 11.1238 0 -0.952894 0.579134 -0.570926 0.531205 -0.772582 0.754718 -1.02786 0.368472 0.490472 -0.835642 -0.444865 -1.08636 0.300795 -0.827581 -0.016666 -2.26233 -1.10874 0.306267 -1.38855 -1.74545 -1.37421 -0.498497 -0.382809 -0.816877 -1.11961 -0.532566 1.15468 0.316704 -2.31278 -1.97173 -1.31121 -2.1311 -2.2721 -1.62665 -0.504451 -0.0197594 -0.383245 -0.471707 -1.47174 0.508921 0.181203 -0.0827534 -0.966043 0.160163 0.526799 0.163157 0.515349 0.587976 0.46241 0.577641 0.653453 0.466674 0.403007 0.828645 0.652194 0 0 0.391732 0.222572 0.563434 22.634042487037 0.0372809785299064 0.0502296656195158 0.0489526120874501 0.392490132917104 3.09730369682467
59.0594 0.588634 0.0409525 0.0763286 0 0 0 0 0.0765341 0.0405256 59.0594 58.8585 58.525 57.9554 57.0091 55.4329 53.7891 52.8284 51.1039 50.0353 48.7618 46.6532 44.7083 43.3917 42.5387 41.5503 40.8295 40.4299 40.0463 39.5841 39.1954 38.677 37.8944 36.9155 35.5457 34.0992 32.705 31.1935 29.6623 28.0521 26.4438 25.0048 23.7991 22.4161 20.935 19.6167 18.7811 18.2324 18.0361 18.1871 18.1383 17.3501 16.2565 15.2937 14.2622 13.3779 12.6018 11.9608 11.4323 11.1253 11.0375 10.8049 0 -1.35193 0.614828 -0.550324 0.503923 -0.634514 0.791592 -0.88649 0.185626 0.550778 -0.949694 -0.574692 -0.992414 0.417241 -0.767859 -0.0637644 -1.38698 -1.47703 0.299019 -1.06536 -2.16494 -0.986085 -0.384692 -0.516171 -0.851391 -0.860456 -0.962916 1.22494 0.504259 -2.56322 -1.67844 -1.50411 -1.98936 -2.01533 -1.81894 -0.362479 0.0480707 -0.550202 -0.526183 -1.50109 0.326339 -0.11987 0.590043 0.250523 0.161439 0.526565 0.165243 0.517281 0.584158 0.464999 0.585987 0.651975 0.463007 0.406899 0.836353 0.645802 0 0 0.401248 0.225266 0.57037 23.6035558450359 0.0349864746750847 0.0456186412178941 0.0445157601733511 0.399657901113724 2.91266523797988
57.2897 0.565485 0.0409595 0.0778603 0 0 0 0 0.0751844 0.0450238 57.2897 57.0917 56.7606 56.2065 55.2776 53.7359 52.1213 51.1744 49.4721 48.4133 47.1192 45.0388 43.142 41.8383 41.0576 40.1726 39.572 39.2752 38.9883 38.6329 38.3215 37.8567 37.0956 36.1629 34.8279 33.3964 32.0043 30.5091 28.9714 27.3856 25.7963 24.384 23.2086 21.8616 20.4198 19.1811 18.38 17.851 17.668 17.8149 17.7541 16.9504 15.8611 14.8954 13.8984 13.0472 12.2952 11.6958 11.2202 10.9634 10.8973 10.5995 0 -1.61041 0.408325 0.228243 0.425889 -1.13032 1.03186 -1.07312 -0.0893365 0.533611 -0.272534 -0.79208 -1.09941 0.425428 -1.12256 0.139174 -1.83451 -1.41482 0.336464 -1.09134 -2.04311 -1.09235 -0.311985 -0.43063 -0.387192 -1.71342 -1.20647 1.34968 0.189121 -1.11261 -1.86942 -1.26817 -2.03707 -2.20708 -1.49192 -0.684578 0.426258 -0.759971 -0.784563 -1.09986 0.605224 -0.31766 0.0857238 -1.91268 0.158706 0.516164 0.165404 0.514473 0.586491 0.462859 0.580566 0.648779 0.470254 0.414793 0.827043 0.631268 0 0 0.401532 0.229461 0.575062 23.2224112153713 0.0259976530270235 0.0442953961924417 0.0432239913068243 0.405350546701611 2.83098239119471
56.2901 0.517208 0.0409297 0.077739 0 0 0 0 0.0942407 0.0519892 56.2901 56.0937 55.7618 55.2125 54.2898 52.7251 51.1183 50.1705 48.4721 47.401 46.1089 44.0443 42.1436 40.8674 40.0696 39.1695 38.5481 38.2185 37.9111 37.5471 37.242 36.8055 36.0779 35.1682 33.8837 32.477 31.0848 29.5671 28.0393 26.4585 24.8858 23.5113 22.3568 20.9942 19.5279 18.2185 17.3357 16.722 16.4616 16.5414 16.4383 15.6175 14.5105 13.5705 12.5483 11.6628 10.858 10.1917 9.60614 9.23654 9.06437 8.68483 0 -1.6487 0.600428 0.0478784 0.231987 -0.516882 0.976376 -0.487486 -0.0918001 0.375548 -0.057356 -0.499179 -1.02497 0.460943 -1.06893 -0.0575786 -1.94554 -1.40749 0.46764 -1.01202 -1.65037 -1.15377 -0.351009 -0.540238 -0.461142 -1.83916 -0.994307 1.33078 0.327157 -0.531481 -1.79677 -1.54037 -1.9443 -2.17299 -1.52267 -0.777272 0.307055 -0.880766 -0.584262 -0.893175 0.473862 0.0248924 0.514216 -0.791885 0.166 0.531877 0.180092 0.516538 0.584759 0.468489 0.573215 0.646845 0.477524 0.431314 0.82392 0.643426 0 0 0.418745 0.242175 0.649375 23.506963492672 0.0274550718898133 0.0392730552001213 0.0383673575705316 0.417603868045571 2.56209286605819
57.2522 0.538237 0.0409416 0.0797461 0 0 0 0 0.0771422 0.0455688 57.2522 57.0594 56.7348 56.1993 55.2998 53.7994 52.2686 51.3647 49.7237 48.6734 47.3734 45.3484 43.4845 42.2358 41.4233 40.5066 39.8169 39.4144 38.9985 38.5043 38.0675 37.5282 36.7235 35.7267 34.3683 32.9119 31.5055 29.9716 28.4343 26.8357 25.2843 23.9151 22.7773 21.4799 20.0758 18.8482 18.056 17.5039 17.2713 17.3651 17.2598 16.4437 15.3616 14.4259 13.4253 12.5756 11.826 11.2318 10.7486 10.4802 10.3649 10.0494 0 -1.74937 0.430123 0.34566 0.298107 -0.919905 0.78574 -0.765379 -0.134892 0.642914 -0.722439 -0.550008 -1.65393 0.522976 -0.98462 -0.165688 -2.35422 -0.953604 0.316214 -1.00015 -1.65093 -1.37845 -0.113208 -0.743654 -0.301659 -1.04844 -2.23503 1.22889 0.426731 -1.24144 -1.67676 -1.35294 -1.79736 -2.22727 -1.44069 -0.927585 0.292568 -0.402262 -0.498797 -0.91964 0.397004 -0.172233 -0.623803 0.154536 0.159512 0.534231 0.168715 0.520977 0.585484 0.463791 0.579469 0.648625 0.469661 0.415581 0.825943 0.634099 0 0 0.387341 0.223964 0.576908 23.7012242026378 0.0245674990678666 0.0421352263700029 0.0411324257604163 0.41397927420497 2.80608063693922
