"Label","MP","ProbBtGtLRP","AcceptProbDec","ObsProbDec","ProbDecDiff","ProbBtGtBmsy","ProbB2052GtBmsy","PB2052Gt.8Bmsy","ProbCtLt1992","medAvgCatch","medLowCatch","medHighCatch","medAAV","D2019","C2019","npvC_trap","npvC_LL","npvC_trawl","npvD_trap","npvD_LL","npvD_trawl","vptC_trap","vptC_LL","vptC_trawl","inputF","scenario"
"NoFish","1",1,0.2625933,0,0.2625933,0.773374525,1,1,1,0,0,0,0,0.239712762,0,0,0,0,0,0,0,0,0,0,0,"simRec2016"
"cap.5_hstAl_am10","2",0.996769761,0.2625933,0.250372835,0.012220465,0.314062153,0.509482617,0.761818911,0.205174808,2.385290383,1.84046625,3.396769761,14.955878588,0.239712762,3.396769761,223.01592898,182.330907245,28.555426891,5.8529914,7.482297845,21.69201214,18201.956074671,18366.104291456,17231.122066167,0.0592,"simRec2016"
"cap.5_hstAl_am5","3",0.996769761,0.2625933,0.254971571,0.007621729,0.312508445,0.507928909,0.753928562,0.175195097,2.439951,1.883263604,3.396769761,14.763939935,0.239712762,3.396769761,226.803145065,189.788358456,26.251237154,5.975954183,7.803748005,19.557068331,18199.032999203,18365.156188118,17221.749663441,0.0643,"simRec2016"
"cap.5_rctAl_am10","4",0.996769761,0.2625933,0.254971571,0.007621729,0.307312681,0.50778529,0.755481763,0.228405047,2.348520622,1.800610376,3.396769761,15.334273769,0.239712762,3.396769761,219.272341613,177.428728953,30.716633743,5.734668438,7.273954087,23.369458836,18203.985279493,18366.803890595,17237.283319544,0.058,"simRec2016"
"cap.5_rctAl_am5","5",0.996769761,0.2625933,0.254971571,0.007621729,0.310399301,0.505243026,0.75026571,0.211511956,2.376844091,1.812142509,3.396769761,15.31077613,0.239712762,3.396769761,220.574185025,181.019407118,29.576552774,5.77607802,7.425548373,22.123230024,18202.571172919,18366.241104237,17234.585235916,0.0622,"simRec2016"
"cap1.0_hstAl_am10","6",0.996769761,0.2625933,0.261700247,0.000893052999999993,0.30575948,0.509482617,0.755461474,0.221511956,2.363572767,1.841392418,3.396769761,14.859795279,0.239712762,3.396769761,219.404560155,179.320754414,30.697065342,5.741417403,7.350723848,23.39314147,18203.501869618,18366.889899145,17235.645689681,0.0564,"simRec2016"
"cap1.0_hstAl_am5","7",0.996769761,0.2625933,0.266896011,-0.00430271100000001,0.310399301,0.50565535,0.753928562,0.203065157,2.392019059,1.860321617,3.396769761,14.823384787,0.239712762,3.396769761,220.420633351,184.616609887,29.422778686,5.77833129,7.570620807,22.07467917,18202.096580256,18366.360231766,17233.004672364,0.0589,"simRec2016"
"cap1.0_rctAl_am10","8",0.996769761,0.2625933,0.26033175,0.00226155,0.30575948,0.511448142,0.755625382,0.238405047,2.321607242,1.797730073,3.396769761,15.307873185,0.239712762,3.396769761,214.958650801,173.830699453,33.06378939,5.604627353,7.114077417,25.302031782,18205.941180769,18367.723833521,17242.765607448,0.0552,"simRec2016"
"cap1.0_rctAl_am5","9",0.996769761,0.2625933,0.256504483,0.006088817,0.307313188,0.50565535,0.750265203,0.243188487,2.308500333,1.773491496,3.396769761,15.72267467,0.239712762,3.396769761,212.66945935,174.308852532,33.217137881,5.536716715,7.130971015,25.16014241,18206.49150762,18367.70441643,17245.24437458,0.0567,"simRec2016"
"cap1.5_hstAl_am10","10",0.996769761,0.2625933,0.26033175,0.00226155,0.312529241,0.513145469,0.76026571,0.238405047,2.340486654,1.830424658,3.396769761,14.342263772,0.239712762,3.396769761,217.185600478,175.119377943,32.034161483,5.670007821,7.175631125,24.499114018,18205.101424114,18367.375493857,17240.162104109,0.0543,"simRec2016"
