"Label","MP","ProbBtGtLRP","AcceptProbDec","ObsProbDec","ProbDecDiff","ProbBtGtBmsy","ProbB2052GtBmsy","PB2052Gt.8Bmsy","ProbCtLt1992","medAvgCatch","medAvgTAC","medLowCatch","medHighCatch","medAAV","D2019","C2019","npvC_trap","npvC_LL","npvC_trawl","npvD_trap","npvD_LL","npvD_trawl","vptC_trap","vptC_LL","vptC_trawl","inputF","scenario"
"cap.5_hstAl_am10","1",0.996769761,0.2625933,0.326154857,-0.063561557,0.257704209,0.40213869,0.663681395,0.131408915,2.554900104,2.70183428,2.126639218,3.058302673,9.925703468,0.239712762,3.05,238.580651278,194.968006247,30.302119448,6.259410953,7.961824814,23.203269099,18199.463685218,18365.076672587,17218.208327004,0.0681,"simRec2016"
"cap.5_hstAl_am5","2",0.996769761,0.2625933,0.327543643,-0.064950343,0.259401536,0.403671602,0.659041067,0.128178676,2.618562956,2.893820094,2.111240452,3.193106909,11.277363377,0.239712762,3.186769761,243.36224664,203.513781285,27.708466379,6.433804621,8.351454824,20.808573706,18193.892099569,18363.539918337,17197.050407824,0.0741,"simRec2016"
"cap.5_rctAl_am10","3",0.996769761,0.2625933,0.331246838,-0.068653538,0.254041357,0.398888162,0.652395885,0.149834918,2.520095868,2.671813484,2.095086017,3.056769761,10.044048512,0.239712762,3.05,235.088472207,190.23823503,32.561895922,6.141087991,7.756587965,24.969305706,18201.816821744,18365.719709314,17228.553887816,0.067,"simRec2016"
"cap.5_rctAl_am5","4",0.996769761,0.2625933,0.340547276,-0.077953976,0.254041357,0.395368929,0.647035706,0.141408915,2.564900104,2.850157242,2.080303826,3.133106909,11.060662324,0.239712762,3.13,238.544501028,195.854656096,31.270119147,6.260677423,8.011578154,23.570949217,18198.584320158,18364.822134923,17220.653950604,0.0728,"simRec2016"
"cap0_am10","5",0.996769761,0.2625933,0.303109829,-0.040516529,0.267704209,0.410029039,0.676356198,0.128178676,2.560095868,2.783367192,2.108069089,3.058302673,10.134572078,0.239712762,3.05,241.458941088,195.503967443,27.800871943,6.359431749,8.000148283,21.195597046,18197.682225595,18364.238575322,17203.296137145,0.0705,"simRec2016"
"cap0_am5","6",0.996769761,0.2625933,0.301680193,-0.039086893,0.270955244,0.418351259,0.686479528,0.119731877,2.618419337,3.045394091,2.047289855,3.37,13.189530676,0.239712762,3.366769761,247.994546287,203.905333141,23.872297787,6.605646816,8.421187875,17.774048905,18190.374984237,18361.935915154,17151.322884658,0.0783,"simRec2016"
"cap1.0_hstAl_am10","7",0.996769761,0.2625933,0.337604275,-0.075010975,0.252488156,0.398888162,0.650698558,0.142941827,2.536433016,2.615064519,2.131979108,3.056769761,9.810214647,0.239712762,3.05,235.245385072,192.533988538,32.588830098,6.147981082,7.845055053,25.027772287,18201.595324738,18366.179933855,17227.483817862,0.0654,"simRec2016"
"cap1.0_hstAl_am5","8",0.996769761,0.2625933,0.345495638,-0.082902338,0.249237121,0.383691891,0.643372854,0.141408915,2.596433016,2.731421956,2.160447445,3.061409582,9.990025734,0.239712762,3.05,238.529902001,200.473636451,31.220859794,6.26249808,8.184685063,23.599703543,18198.254134799,18364.872860695,17219.522331034,0.0696,"simRec2016"
"cap1.0_rctAl_am10","9",0.996769761,0.2625933,0.33085531,-0.06826201,0.250790829,0.393671602,0.652395885,0.166728009,2.486576635,2.578706575,2.088459875,3.053106909,9.972915161,0.239712762,3.05,230.264519433,186.227526625,35.225276232,5.98752818,7.572051185,27.14963572,18204.512560716,18367.185407575,17236.108668061,0.0639,"simRec2016"
"cap1.0_rctAl_am5","10",0.996769761,0.2625933,0.347336077,-0.084742777,0.244041357,0.386922637,0.639710002,0.151388626,2.516412727,2.684920393,2.090570268,3.053106909,10.250088548,0.239712762,3.05,231.407884163,189.753303438,35.732134867,6.020903794,7.718697616,27.267460866,18203.110993995,18366.601353763,17233.743223501,0.0676,"simRec2016"
"cap1.5_hstAl_am10","11",0.996769761,0.2625933,0.339301602,-0.076708302,0.250790829,0.393671602,0.648733033,0.159834918,2.51854216,2.553346396,2.116783344,3.053106909,9.770593844,0.239712762,3.05,233.599904672,188.488845275,34.192233889,6.086427881,7.671927855,26.33487701,18203.318028109,18366.765310189,17232.633064583,0.0634,"simRec2016"
"cap1.5_hstAl_am5","12",0.996769761,0.2625933,0.351976405,-0.089383105,0.242488156,0.380029546,0.636623382,0.142941827,2.570095868,2.626474101,2.150262234,3.058302673,9.764373981,0.239712762,3.05,237.164681839,194.012708743,33.862219562,6.190944372,7.906485431,25.797507988,18200.932000744,18366.159263096,17227.292999545,0.0663,"simRec2016"
"cap1.5_rctAl_am10","13",0.996769761,0.2625933,0.326215489,-0.063622189,0.254041357,0.404083926,0.65873354,0.171532245,2.466576635,2.520239487,2.085929198,3.053106909,9.891309953,0.239712762,3.05,228.320544629,184.388308813,35.396812391,5.92765151,7.492174515,27.382911615,18205.393758607,18367.366049392,17238.260067654,0.0619,"simRec2016"
