"Scenario","MP","Label","ProbBtGtLRP","AcceptProbDec","ObsProbDec","ProbBtGtBmsy","ProbB2052GtBmsy","ProbCtLt1992","medAvgCatch","medLowCatch","medHighCatch","medAAV","D2019","C2019","npvC_trap","npvC_LL","npvC_trawl","npvD_trap","npvD_LL","npvD_trawl","vptC_trap","vptC_LL","vptC_trawl"
"hiRec2016_mhmB","1","NoFish",1,0.46,0,0.98,1,1,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0
"hiRec2016_mhmB","2","SP_cap.5_hstAl_am10",1,0.46,0,0.78,0.65,0.02,3.63,3.04,4.25,8.56,0.35,3.44,336.82,277.44,46.25,9.73,11.59,27.73,18134.11,18344.16,17340.18
"hiRec2016_mhmB","3","SP_cap.5_hstAl_am5",1,0.46,0,0.78,0.66,0.01,3.69,3.06,4.4,8.29,0.35,3.44,340.73,288.22,42.99,9.8,12.02,25.76,18133.4,18343.67,17336.33
"hiRec2016_mhmB","4","SP_cap.5_rctAl_am10",1,0.46,0,0.78,0.65,0.02,3.57,3,4.17,8.71,0.35,3.44,330.72,270.62,48.5,9.57,11.31,28.92,18135.01,18344.54,17343.86
"hiRec2016_mhmB","5","SP_cap.5_rctAl_am5",1,0.46,0,0.78,0.65,0.02,3.6,2.99,4.25,8.48,0.35,3.44,330.44,276.16,46.86,9.53,11.53,27.77,18134.84,18344.36,17342.41
"hiRec2016_mhmB","6","SP_cap1.0_hstAl_am10",1,0.46,0,0.78,0.65,0.02,3.56,2.95,4.16,8.7,0.35,3.44,328.06,272.22,48.16,9.51,11.37,28.73,18134.95,18344.45,17343.85
"hiRec2016_mhmB","7","SP_cap1.0_hstAl_am5",1,0.46,0,0.79,0.67,0.01,3.57,2.94,4.24,8.85,0.35,3.44,324.86,278.86,46.16,9.39,11.63,27.39,18134.9,18344.43,17342.36
"hiRec2016_mhmB","8","SP_cap1.0_rctAl_am10",1,0.46,0,0.78,0.65,0.02,3.48,2.88,4.07,8.85,0.35,3.44,321.15,262.89,51.05,9.33,11,30.3,18135.89,18344.92,17347.78
"hiRec2016_mhmB","9","SP_cap1.0_rctAl_am5",1,0.46,0,0.79,0.66,0.02,3.43,2.83,4.06,9.24,0.35,3.44,312.68,261.65,51.25,9.07,10.93,30.13,18136.58,18345.13,17350.27
"hiRec2016_mhmB","10","SP_cap1.5_hstAl_am10",1,0.46,0,0.78,0.65,0.02,3.52,2.94,4.07,8.59,0.35,3.44,322.66,267.3,49.5,9.37,11.18,29.45,18135.51,18344.71,17346.03
